user_id,gender,age,gift_card_balance,number_of_credit_cards,state,tax_rate
195,1,44,100,0,MT,0.8
196,0,78,300,3,TN,1.2
197,1,42,400,4,FL,0.8
198,0,43,0,0,LA,1.2
199,0,89,200,7,NY,0.0
200,0,96,0,5,TN,0.3
201,1,89,0,2,NM,1.2
202,1,26,200,6,MI,1.1
203,0,30,100,7,MS,0.8
204,2,57,100,0,WV,0.8
205,0,82,200,1,MS,0.0
206,0,25,200,8,AL,0.6
207,1,65,200,7,NY,0.0
208,2,73,300,7,IN,0.2
209,2,68,200,5,MT,0.6
210,0,88,500,8,NC,0.8
211,2,60,200,0,RI,1.2
212,2,78,400,5,NC,0.2
213,2,53,400,5,MA,1.2
214,0,15,500,0,NV,0.8
215,1,50,200,5,CA,0.8
216,1,86,500,4,NY,0.8
217,1,55,300,2,MO,1.2
218,0,33,0,4,MN,0.3
219,0,74,300,8,FL,0.6
220,0,80,500,7,OH,0.5
221,2,41,400,1,UT,0.6
222,1,75,400,7,NJ,1.0
223,0,17,100,1,GA,0.4
224,0,43,400,0,WV,0.5
225,0,25,100,1,VA,1.0
226,2,98,500,1,NV,1.2
227,0,52,400,7,RI,1.0
228,0,68,0,2,KY,0.0
229,0,85,500,1,CO,1.0
230,2,79,500,8,WI,0.2
231,1,36,400,4,MA,0.6
232,0,42,200,8,OR,1.0
233,1,69,300,0,KY,1.1
234,0,71,0,8,VT,1.2
235,1,66,100,4,UT,0.8
236,1,98,300,7,PA,1.0
237,1,18,100,4,WI,0.1
238,1,16,0,8,MA,0.2
239,1,36,400,2,WA,0.7
240,1,49,400,3,VA,0.4
241,2,53,300,6,HI,0.9
242,0,20,300,8,LA,1.0
243,2,49,200,4,NM,0.7
244,2,71,400,8,NM,0.2
245,0,40,300,6,MS,0.8
246,1,56,400,7,UT,0.7
247,1,94,300,0,FL,0.4
248,0,64,500,4,CA,0.8
249,0,38,200,3,WV,0.2
